Qty,Identifier,Description,Value,Package,,Price/1,Price (tot)
,,,,,,,
6,"R1, R2, R3, R4, R5, R6",Resistor 0 Ohm,,1206,,,
8,"R7, R8, R9, R10, R11, R12, R13, R17",Resistor 5k Ohm,,1206,,,
1,R14,Resistor 100k Ohm,,1206,,,
2,"R15, R19",Resistor 100 Ohm 1 W,,through-hole,,,
1,R16,Resistor 10k Ohm,,1206,,,
1,R18,Resistor 22k Ohm,,1206,,,
1,R20,Resistor 1.2k Ohm,,1206,,,
,,,,,,,
1,C41,Capacitor 1 uF,,"through-hole, E2.5-6",,,
2,"C1, C44",Ceramic capacitor,"10 nF, 63 V",through-hole,,,
14,"C2, C3, C4, C5, C7, C8, C11, C12, C13, C16, C17, C19, C21, C24, C35, C36, C43",Electrolytic capacitor,"470 uF, 35 V","through-hole, E5-10.5",,,
23,"C6, C9, C10, C14, C15, C18, C22, C23, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C37, C38, C39, C40, C42",Ceramic capacitor (MLCC),"100 nF, 25 V",1206,,,
,,,,,,,
1,L1,EMI suppression inductor (optional),,,,,
,,,,,,,
1,D1,5V6 zener diode,,DO41,,,
1,"D2, D6",Schottky diode,,DO15-12,,,
1,D3,Schottky diode,,DO214,,,
2,"D4, D7",TVS diode,,DO41-7.6,,,
,,,,,,,
1,SV6,IDC header 4-pin,,,,,
3,"SV7, SV8, SV9",Screw terminals 4 mm pitch,,,,,
4,"X1, X6, X7, X8",Screw terminals 10 mm pitch,,,,,
1,,jumper,,,,,
3,"JP1, JP2, JP3",IDC header 2-pin,,,,,
,J6,Header (optional),,,,,
,,,,,,,
1,IC2,ESP32-DEVKIT,,,,,
1,Q1,IRLB8743 n-MOSFET,,TO220,,,
6,"IC3, IC4, IC5, IC6, IC7, IC8",BTS7960B,,TO263-7,,,
1,SV1,5V buck converter,,,,,
,,,,,,,
1,,Heatsink 20x108 mm,,,,,
1,,Thermal pad 20x108 mm,,,,,
1,,5V DC fan 20 or 25 mm (optional),,,,,
1,F2,Micro car fuse + holder,,,,,
1,,Enclosure,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
